"id"|"paymentDue"|"amount"|"name"|"address"|"stratum"|"consumption"|"avgConsumption"|"last"
24101|"31-12-2022"|9566.368|"Emory Collough"|"St 000 No 982 99"|1|6.101|16.05|"16,807 6,101 26,69 26,084 21,604 8,688 21,092 7,284 8,083 8,388 21,687 20,034"
24795|"21-11-2022"|29482.27|"Yoshi Tims"|"St 000 No 396 19"|5|5.014|14.75|"6,082 5,014 10,81 19,662 12,309 28,904 17,106 8,699 13,216 15,963 22,865 16,354"
24051|"31-12-2022"|43642.145|"Caryn McCoish"|"Av 217 No 000 57"|1|27.833|18.24|"24,845 27,833 14,992 25,424 22,189 19,802 9,01 8,031 22,438 10,985 24,18 9,172"
24551|"01-12-2022"|49446.754|"Vail Devote"|"Av 552 No 002 93"|4|12.614|13.6|"27,216 12,614 7,979 8,868 16,406 27,756 12,508 6,659 10,219 20,506 7,061 5,418"
24822|"21-11-2022"|171166.52|"Kinsley de Vaen"|"Av 077 No 003 44"|5|29.11|19.79|"28,07 29,11 29,971 9,53 19,01 20,865 27,202 17,621 23,929 12,118 5,232 14,88"
24039|"31-12-2022"|11476.192|"Rogerio Ebbers"|"St 003 No 736 07"|1|7.319|17.27|"22,136 7,319 24,326 26,142 25,758 21,243 17,751 8,882 5,149 5,038 17,151 26,344"
24054|"31-12-2022"|29067.584|"Ingelbert Udall"|"St 004 No 837 34"|1|18.538|18.89|"17,693 18,538 6,548 17,208 12,286 18,154 28,825 29,854 26,747 15,932 22,393 12,459"
24231|"21-12-2022"|59827.57|"Joceline Rucklesse"|"St 005 No 439 08"|2|25.437|17.44|"18,56 25,437 16,226 12,025 24,522 5,618 10,656 12,884 28,933 23,985 5,068 25,419"
24381|"11-12-2022"|20569.65|"Louisa Ringsell"|"St 005 No 603 51"|3|5.997|17.6|"26,011 5,997 20,564 16,149 12,138 8,725 9,888 29,369 20,731 22,216 23,047 16,387"
24509|"11-12-2022"|86308.836|"Aubert Casbon"|"St 006 No 366 37"|3|25.163|22.85|"29,117 25,163 26,704 22,424 25,545 24,112 26,089 12,574 27,727 23,612 13,618 17,49"
24718|"21-11-2022"|131888.17|"Allene Ewer"|"Av 129 No 007 42"|5|22.43|16.83|"26,207 22,43 13,709 10,533 12,766 13,521 25,934 12,327 11,176 22,101 17,68 13,529"
24639|"01-12-2022"|37624.062|"Ellyn Postin"|"Av 545 No 007 08"|4|9.598|17.72|"18,493 9,598 29,26 25,298 19,043 14,633 7,986 9,164 28,348 10,152 27,868 12,816"
24526|"01-12-2022"|41379.414|"Michele Cringle"|"Av 692 No 008 53"|4|10.556|17.49|"18,441 10,556 26,53 19,198 11,426 15,501 16,871 20,992 18,463 8,868 26,816 16,273"
24486|"11-12-2022"|75271.13|"Tina McCerery"|"St 008 No 318 59"|3|21.945|18.13|"13,008 21,945 26,666 22,949 24,527 8,701 17,633 20,815 26,783 10,583 14,916 8,988"
24248|"21-12-2022"|13954.356|"Sibylla Ridger"|"Av 298 No 008 42"|2|5.933|12.83|"16,721 5,933 17,106 8,547 13,705 19,931 11,233 12,237 7,221 17,767 13,79 9,814"
24334|"21-12-2022"|61695.05|"Tucky Duetsche"|"St 011 No 138 94"|2|26.231|18.07|"7,527 26,231 29,705 15,891 17,821 16,535 29,988 10,608 22,897 19,137 10,152 10,404"
24292|"21-12-2022"|26742.127|"Allene Brand-Hardy"|"St 011 No 669 97"|2|11.37|16.23|"8,37 11,37 25,538 26,295 18,325 17,944 21,864 7,401 14,395 13,283 9,32 20,622"
24741|"21-11-2022"|105451.74|"Mason Blackborough"|"St 012 No 469 45"|5|17.934|15.91|"5,241 17,934 7,34 29,102 14,621 22,136 12,769 15,288 28,164 20,138 10,262 7,903"
24585|"01-12-2022"|81371.16|"Mildred M'Chirrie"|"St 014 No 545 09"|4|20.758|14.8|"9,941 20,758 6,048 22,152 6,065 10,522 9,314 21,528 15,136 28,824 15,075 12,262"
24223|"21-12-2022"|68741.61|"Binnie Schwant"|"St 015 No 891 66"|2|29.227|21.62|"15,65 29,227 18,276 28,896 10,374 20,714 27,377 10,218 26,425 14,665 27,848 29,809"
24143|"31-12-2022"|11733.344|"Beverlee Peers"|"Av 485 No 018 66"|1|7.483|18.12|"12,499 7,483 16,87 22,218 18,554 13,741 25,819 27,766 9,756 29,116 5,823 27,755"
24818|"21-11-2022"|70724.52|"Noelani Bennell"|"St 018 No 192 81"|5|12.028|14.75|"12,848 12,028 15,798 6,568 15,767 15,707 14,009 8,935 16,196 11,744 20,461 26,895"
24959|"16-11-2022"|176744.39|"Sylvester Heffernan"|"Av 714 No 019 36"|6|28.18|18.57|"25,547 28,18 14,041 17,58 7,565 17,944 15,756 13,271 23,571 28,368 18,146 12,865"
24416|"11-12-2022"|85619.414|"Vicky Ponder"|"St 019 No 808 95"|3|24.962|18.23|"24,973 24,962 6,09 27,299 6,34 18,627 23,987 11,885 14,935 11,672 22,893 25,091"
24612|"01-12-2022"|110610.36|"Korey Cereceres"|"Av 251 No 021 92"|4|28.217|17.66|"14,84 28,217 14,539 26,711 19,191 7,023 22,122 7,422 9,736 28,051 6,888 27,123"
24779|"21-11-2022"|104452.14|"Rod Waghorne"|"St 029 No 845 99"|5|17.764|20.12|"25,728 17,764 29,483 17,193 18,753 14,557 29,438 13,249 20,191 25,132 9,992 19,915"
24251|"21-12-2022"|39075.96|"Lil Latchmore"|"St 031 No 181 33"|2|16.614|20.03|"24,584 16,614 11,507 14,771 29,592 16,834 26,067 23,332 22,52 14,832 17,199 22,553"
24390|"11-12-2022"|79754.125|"Constancy Himpson"|"St 032 No 571 65"|3|23.252|18.96|"14,109 23,252 29,802 25,585 17,322 6,801 10,242 15,142 11,046 29,083 23,792 21,294"
24197|"21-12-2022"|49182.46|"Rasla Francino"|"St 032 No 159 30"|2|20.911|18.05|"29,93 20,911 20,163 18,659 19,419 19,28 7,405 7,489 24,422 12,781 17,952 18,237"
24830|"21-11-2022"|39613.492|"Ricky Coleyshaw"|"Av 052 No 033 40"|5|6.737|17.2|"23,534 6,737 23,023 12,777 9,866 28,984 17,342 15,408 5,793 26,614 14,009 22,355"
24002|"31-12-2022"|19935.553|"Obie Tanti"|"St 033 No 068 01"|1|12.714|18.33|"24,711 12,714 6,938 8,221 14,092 23,815 5,979 25,847 23,845 26,233 27,764 19,778"
24813|"21-11-2022"|81837.7|"Elsey Gronno"|"St 035 No 685 49"|5|13.918|18.76|"7,144 13,918 15,902 25,038 16,932 17,871 16,529 27,786 23,754 22,373 28,642 9,231"
24441|"11-12-2022"|37318.293|"Clarie Boyall"|"St 036 No 175 88"|3|10.88|16.78|"28,414 10,88 5,456 19,24 18,764 27,365 7,499 27,22 14,974 17,103 5,719 18,68"
24857|"16-11-2022"|106793.0|"Bartholomeus Benger"|"Av 595 No 038 24"|6|17.027|19.71|"28,093 17,027 13,469 28,693 26,628 5,413 21,399 28,135 10,96 20,457 23,662 12,628"
24442|"11-12-2022"|56142.08|"Alidia Lawden"|"St 038 No 135 09"|3|16.368|19.38|"26,345 16,368 16,034 10,942 24,087 7,66 25,141 22,98 18,683 9,843 27,705 26,79"
24009|"31-12-2022"|15200.192|"Howie Jeeks"|"St 039 No 048 30"|1|9.694|16.68|"22,605 9,694 25,733 23,132 12,78 14,48 19,696 28,61 7,806 9,546 10,892 15,197"
24429|"11-12-2022"|99792.13|"Cornall Elverstone"|"St 039 No 424 67"|3|29.094|20.04|"14,606 29,094 18,037 25,885 28,681 24,95 7,216 27,543 5,393 26,764 9,087 23,204"
24062|"31-12-2022"|43867.938|"Nannie Lernihan"|"Av 705 No 039 48"|1|27.977|20.92|"6,246 27,977 27,328 17,282 27,249 28,179 9,501 22,979 17,01 24,337 17 25,942"
24970|"16-11-2022"|103638.195|"Kessia Von Oertzen"|"Av 258 No 041 08"|6|16.524|17.86|"22,009 16,524 20,412 22,097 27,705 11,081 9,777 23,113 19,476 17,785 8,416 15,893"
24484|"11-12-2022"|78131.74|"Ranice Tidmarsh"|"Av 464 No 042 42"|3|22.779|22.36|"26,214 22,779 18,232 29,001 25,171 29,457 13,632 25,878 15,413 23,631 12,897 26,031"
24908|"16-11-2022"|146112.05|"Brion Wille"|"Av 439 No 044 54"|6|23.296|15.75|"12,994 23,296 13,426 18,525 23,656 10,018 27,841 6,267 8,919 15,459 16,953 11,693"
24240|"21-12-2022"|40482.453|"Talbot Pray"|"St 044 No 388 89"|2|17.212|15.22|"26,287 17,212 10,742 25,9 23,927 24,138 8,951 6,783 5,293 5,687 14,24 13,444"
24258|"21-12-2022"|61648.01|"Gloriane Seccombe"|"Av 788 No 045 90"|2|26.211|15.89|"28,794 26,211 12,497 6,911 14,938 16,681 8,632 8,276 22,482 20,435 12,118 12,646"
24479|"11-12-2022"|72040.08|"Raimundo Fadden"|"St 047 No 198 25"|3|21.003|18.07|"24,048 21,003 26,444 20,338 11,514 10,622 16,828 13,603 6,482 24,204 11,842 29,867"
24321|"21-12-2022"|31798.904|"Hagan De Filippi"|"St 047 No 302 84"|2|13.52|18.28|"6,621 13,52 6,47 25,424 22,768 21,339 12,045 18,282 8,531 26,139 29,393 28,876"
24178|"21-12-2022"|43088.457|"Kora Walhedd"|"Av 587 No 047 40"|2|18.32|20.12|"26,839 18,32 24,549 13,767 26,91 23,325 15,779 7,424 6,396 21,491 29,136 27,544"
24278|"21-12-2022"|53503.07|"Dwight Corteney"|"St 047 No 877 96"|2|22.748|18.22|"5,811 22,748 5,686 10,283 16,404 26,79 28,715 6,9 28,522 25,774 20,019 21,01"
