"id"|"paymentDue"|"amount"|"name"|"address"|"consumption"
1317|"02-04-2022"|34005.215|"Emory Collough"|"St 000 No 982 99"|21.687
1157|"21-02-2022"|134445.97|"Yoshi Tims"|"St 000 No 396 19"|22.865
1709|"02-04-2022"|37914.24|"Caryn McCoish"|"Av 217 No 000 57"|24.18
1722|"03-03-2022"|27679.049|"Vail Devote"|"Av 552 No 002 93"|7.061
1956|"21-02-2022"|30764.107|"Kinsley de Vaen"|"Av 077 No 003 44"|5.232
1200|"02-04-2022"|26892.768|"Rogerio Ebbers"|"St 003 No 736 07"|17.151
1072|"02-04-2022"|35112.223|"Ingelbert Udall"|"St 004 No 837 34"|22.393
1188|"23-03-2022"|11919.886|"Joceline Rucklesse"|"St 005 No 439 08"|5.068
1161|"13-03-2022"|79050.98|"Louisa Ringsell"|"St 005 No 603 51"|23.047
1342|"13-03-2022"|46709.605|"Aubert Casbon"|"St 006 No 366 37"|13.618
1713|"21-02-2022"|103958.23|"Allene Ewer"|"Av 129 No 007 42"|17.68
1880|"03-03-2022"|109242.28|"Ellyn Postin"|"Av 545 No 007 08"|27.868
1669|"03-03-2022"|105118.45|"Michele Cringle"|"Av 692 No 008 53"|26.816
1492|"13-03-2022"|51161.73|"Tina McCerery"|"St 008 No 318 59"|14.916
1982|"23-03-2022"|32433.941|"Sibylla Ridger"|"Av 298 No 008 42"|13.79
1208|"23-03-2022"|23877.402|"Tucky Duetsche"|"St 011 No 138 94"|10.152
1292|"23-03-2022"|21920.547|"Allene Brand-Hardy"|"St 011 No 669 97"|9.32
1007|"21-02-2022"|60340.457|"Mason Blackborough"|"St 012 No 469 45"|10.262
1113|"03-03-2022"|59093.848|"Mildred M'Chirrie"|"St 014 No 545 09"|15.075
1383|"23-03-2022"|65498.22|"Binnie Schwant"|"St 015 No 891 66"|27.848
1641|"02-04-2022"|9130.464|"Beverlee Peers"|"Av 485 No 018 66"|5.823
1135|"21-02-2022"|120310.48|"Noelani Bennell"|"St 018 No 192 81"|20.461
1530|"16-02-2022"|113811.35|"Sylvester Heffernan"|"Av 714 No 019 36"|18.146
1309|"13-03-2022"|78522.76|"Vicky Ponder"|"St 019 No 808 95"|22.893
1701|"03-03-2022"|27000.89|"Korey Cereceres"|"Av 251 No 021 92"|6.888
1459|"21-02-2022"|58752.86|"Rod Waghorne"|"St 029 No 845 99"|9.992
1004|"23-03-2022"|40451.875|"Lil Latchmore"|"St 031 No 181 33"|17.199
1452|"13-03-2022"|81606.32|"Constancy Himpson"|"St 032 No 571 65"|23.792
1419|"23-03-2022"|42222.926|"Rasla Francino"|"St 032 No 159 30"|17.952
1618|"21-02-2022"|82372.78|"Ricky Coleyshaw"|"Av 052 No 033 40"|14.009
1461|"02-04-2022"|43533.953|"Obie Tanti"|"St 033 No 068 01"|27.764
1463|"21-02-2022"|168414.67|"Elsey Gronno"|"St 035 No 685 49"|28.642
1197|"13-03-2022"|19616.113|"Clarie Boyall"|"St 036 No 175 88"|5.719
1567|"16-02-2022"|148407.6|"Bartholomeus Benger"|"Av 595 No 038 24"|23.662
1182|"13-03-2022"|95027.875|"Alidia Lawden"|"St 038 No 135 09"|27.705
1164|"02-04-2022"|17078.656|"Howie Jeeks"|"St 039 No 048 30"|10.892
1293|"13-03-2022"|31168.318|"Cornall Elverstone"|"St 039 No 424 67"|9.087
1900|"02-04-2022"|26656.0|"Nannie Lernihan"|"Av 705 No 039 48"|17.0
1592|"16-02-2022"|52784.984|"Kessia Von Oertzen"|"Av 258 No 041 08"|8.416
1555|"13-03-2022"|44236.582|"Ranice Tidmarsh"|"Av 464 No 042 42"|12.897
1519|"16-02-2022"|106328.875|"Brion Wille"|"Av 439 No 044 54"|16.953
1131|"23-03-2022"|33492.336|"Talbot Pray"|"St 044 No 388 89"|14.24
1911|"23-03-2022"|28501.414|"Gloriane Seccombe"|"Av 788 No 045 90"|12.118
1025|"13-03-2022"|40617.94|"Raimundo Fadden"|"St 047 No 198 25"|11.842
1436|"23-03-2022"|69132.04|"Hagan De Filippi"|"St 047 No 302 84"|29.393
1825|"23-03-2022"|68527.58|"Kora Walhedd"|"Av 587 No 047 40"|29.136
1404|"23-03-2022"|47084.49|"Dwight Corteney"|"St 047 No 877 96"|20.019
1385|"13-03-2022"|33977.48|"Charity Gayton"|"St 048 No 678 81"|9.906
