"id"|"paymentDue"|"amount"|"name"|"address"|"consumption"|"avgConsumption"|"last"
20157|"30-08-2022"|13622.784|"Emory Collough"|"St 000 No 982 99"|8.688|16.53|"16,807 6,101 26,69"
20838|"21-07-2022"|169955.23|"Yoshi Tims"|"St 000 No 396 19"|28.904|7.3|"6,082 5,014 10,81"
20163|"30-08-2022"|31049.535|"Caryn McCoish"|"Av 217 No 000 57"|19.802|22.56|"24,845 27,833 14,992"
20652|"31-07-2022"|108803.24|"Vail Devote"|"Av 552 No 002 93"|27.756|15.94|"27,216 12,614 7,979"
20700|"21-07-2022"|122685.99|"Kinsley de Vaen"|"Av 077 No 003 44"|20.865|29.05|"28,07 29,11 29,971"
20155|"30-08-2022"|33309.023|"Rogerio Ebbers"|"St 003 No 736 07"|21.243|17.93|"22,136 7,319 24,326"
20169|"30-08-2022"|28465.473|"Ingelbert Udall"|"St 004 No 837 34"|18.154|14.26|"17,693 18,538 6,548"
20288|"20-08-2022"|13213.4795|"Joceline Rucklesse"|"St 005 No 439 08"|5.618|20.07|"18,56 25,437 16,226"
20506|"10-08-2022"|29926.662|"Louisa Ringsell"|"St 005 No 603 51"|8.725|17.52|"26,011 5,997 20,564"
20415|"10-08-2022"|82703.92|"Aubert Casbon"|"St 006 No 366 37"|24.112|26.99|"29,117 25,163 26,704"
20680|"21-07-2022"|79503.34|"Allene Ewer"|"Av 129 No 007 42"|13.521|20.78|"26,207 22,43 13,709"
20607|"31-07-2022"|57361.215|"Ellyn Postin"|"Av 545 No 007 08"|14.633|19.12|"18,493 9,598 29,26"
20602|"31-07-2022"|60763.766|"Michele Cringle"|"Av 692 No 008 53"|15.501|18.51|"18,441 10,556 26,53"
20519|"10-08-2022"|29844.344|"Tina McCerery"|"St 008 No 318 59"|8.701|20.54|"13,008 21,945 26,666"
20269|"20-08-2022"|46877.51|"Sibylla Ridger"|"Av 298 No 008 42"|19.931|13.25|"16,721 5,933 17,106"
20210|"20-08-2022"|38890.156|"Tucky Duetsche"|"St 011 No 138 94"|16.535|21.15|"7,527 26,231 29,705"
20276|"20-08-2022"|42204.11|"Allene Brand-Hardy"|"St 011 No 669 97"|17.944|15.09|"8,37 11,37 25,538"
20754|"21-07-2022"|130159.46|"Mason Blackborough"|"St 012 No 469 45"|22.136|10.17|"5,241 17,934 7,34"
20597|"31-07-2022"|41246.137|"Mildred M'Chirrie"|"St 014 No 545 09"|10.522|12.25|"9,941 20,758 6,048"
20252|"20-08-2022"|48719.12|"Binnie Schwant"|"St 015 No 891 66"|20.714|21.05|"15,65 29,227 18,276"
20105|"30-08-2022"|21545.889|"Beverlee Peers"|"Av 485 No 018 66"|13.741|12.28|"12,499 7,483 16,87"
20822|"21-07-2022"|92357.0|"Noelani Bennell"|"St 018 No 192 81"|15.707|13.56|"12,848 12,028 15,798"
20992|"16-07-2022"|112544.41|"Sylvester Heffernan"|"Av 714 No 019 36"|17.944|22.59|"25,547 28,18 14,041"
20464|"10-08-2022"|63890.42|"Vicky Ponder"|"St 019 No 808 95"|18.627|18.68|"24,973 24,962 6,09"
20592|"31-07-2022"|27530.09|"Korey Cereceres"|"Av 251 No 021 92"|7.023|19.2|"14,84 28,217 14,539"
20678|"21-07-2022"|85595.016|"Rod Waghorne"|"St 029 No 845 99"|14.557|24.33|"25,728 17,764 29,483"
20226|"20-08-2022"|39593.4|"Lil Latchmore"|"St 031 No 181 33"|16.834|17.57|"24,584 16,614 11,507"
20472|"10-08-2022"|23327.361|"Constancy Himpson"|"St 032 No 571 65"|6.801|22.39|"14,109 23,252 29,802"
20289|"20-08-2022"|45346.367|"Rasla Francino"|"St 032 No 159 30"|19.28|23.67|"29,93 20,911 20,163"
20723|"21-07-2022"|170425.62|"Ricky Coleyshaw"|"Av 052 No 033 40"|28.984|17.76|"23,534 6,737 23,023"
20083|"30-08-2022"|37341.92|"Obie Tanti"|"St 033 No 068 01"|23.815|14.79|"24,711 12,714 6,938"
20770|"21-07-2022"|105081.305|"Elsey Gronno"|"St 035 No 685 49"|17.871|12.32|"7,144 13,918 15,902"
20428|"10-08-2022"|93861.68|"Clarie Boyall"|"St 036 No 175 88"|27.365|14.92|"28,414 10,88 5,456"
20924|"16-07-2022"|33950.227|"Bartholomeus Benger"|"Av 595 No 038 24"|5.413|19.53|"28,093 17,027 13,469"
20386|"10-08-2022"|26273.723|"Alidia Lawden"|"St 038 No 135 09"|7.66|19.58|"26,345 16,368 16,034"
20076|"30-08-2022"|22704.64|"Howie Jeeks"|"St 039 No 048 30"|14.48|19.34|"22,605 9,694 25,733"
20471|"10-08-2022"|85578.25|"Cornall Elverstone"|"St 039 No 424 67"|24.95|20.58|"14,606 29,094 18,037"
20156|"30-08-2022"|44184.67|"Nannie Lernihan"|"Av 705 No 039 48"|28.179|20.52|"6,246 27,977 27,328"
20889|"16-07-2022"|69499.81|"Kessia Von Oertzen"|"Av 258 No 041 08"|11.081|19.65|"22,009 16,524 20,412"
20458|"10-08-2022"|101037.22|"Ranice Tidmarsh"|"Av 464 No 042 42"|29.457|22.41|"26,214 22,779 18,232"
20953|"16-07-2022"|62832.695|"Brion Wille"|"Av 439 No 044 54"|10.018|16.57|"12,994 23,296 13,426"
20271|"20-08-2022"|56772.336|"Talbot Pray"|"St 044 No 388 89"|24.138|18.08|"26,287 17,212 10,742"
20251|"20-08-2022"|39233.547|"Gloriane Seccombe"|"Av 788 No 045 90"|16.681|22.5|"28,794 26,211 12,497"
20397|"10-08-2022"|36433.355|"Raimundo Fadden"|"St 047 No 198 25"|10.622|23.83|"24,048 21,003 26,444"
20345|"20-08-2022"|50189.113|"Hagan De Filippi"|"St 047 No 302 84"|21.339|8.87|"6,621 13,52 6,47"
20190|"20-08-2022"|54860.168|"Kora Walhedd"|"Av 587 No 047 40"|23.325|23.24|"26,839 18,32 24,549"
20257|"20-08-2022"|63009.812|"Dwight Corteney"|"St 047 No 877 96"|26.79|11.42|"5,811 22,748 5,686"
20363|"10-08-2022"|62676.207|"Charity Gayton"|"St 048 No 678 81"|18.273|17.04|"14,439 16,194 20,5"
20500|"10-08-2022"|24123.12|"Tatiania Giacubo"|"Av 421 No 048 32"|7.033|15.68|"11,739 29,171 6,142"
20867|"16-07-2022"|107100.33|"Stephani Snoxill"|"St 049 No 492 55"|17.076|12.81|"5,431 27,516 5,482"
20712|"21-07-2022"|158154.1|"Court Vampouille"|"St 050 No 248 54"|26.897|20.28|"22,884 25,434 12,536"
20812|"21-07-2022"|122386.11|"Giselle Dashkov"|"Av 888 No 052 91"|20.814|12.12|"6,356 5,695 24,322"
20918|"16-07-2022"|45108.082|"Torrie Thebeau"|"Av 157 No 052 29"|7.192|9.7|"12,578 10,898 5,634"
20153|"30-08-2022"|15720.768|"Kamilah Kyne"|"St 054 No 675 20"|10.026|16.33|"16,843 20,705 11,429"
20133|"30-08-2022"|23523.137|"Shirlee Laherty"|"Av 020 No 056 90"|15.002|14.41|"15,863 8,174 19,188"
20863|"16-07-2022"|119349.51|"Jobye Southgate"|"Av 587 No 057 82"|19.029|21.11|"29,085 10,08 24,151"
20318|"20-08-2022"|62995.7|"Sybyl Keme"|"St 058 No 994 77"|26.784|11.03|"7,64 11,527 13,912"
20619|"31-07-2022"|95318.48|"Farly Foucar"|"Av 659 No 059 94"|24.316|24.9|"28,984 18,133 27,584"
20195|"20-08-2022"|66189.7|"Duncan Sylett"|"St 060 No 416 67"|28.142|11.27|"8,763 13,644 11,416"
20321|"20-08-2022"|13669.766|"Rodrick Ashbee"|"Av 278 No 060 38"|5.812|14.17|"8,178 8,243 26,094"
20394|"10-08-2022"|77751.016|"Karol Pritchard"|"Av 654 No 062 78"|22.668|16.16|"6,743 20,364 21,37"
20030|"30-08-2022"|9688.672|"Bernarr Titman"|"St 063 No 688 63"|6.179|17.67|"20,594 21,802 10,601"
20816|"21-07-2022"|32216.465|"Yvon Currm"|"St 064 No 330 52"|5.479|19.81|"21,396 9,426 28,6"
20914|"16-07-2022"|120146.05|"Marve Armitt"|"Av 278 No 064 39"|19.156|15.25|"8,259 18,485 19,013"
20915|"16-07-2022"|136961.23|"Pryce Grewar"|"Av 895 No 066 88"|21.837|13.8|"9,152 6,663 25,587"
20479|"10-08-2022"|35596.438|"Mei Mechi"|"St 067 No 815 48"|10.378|19.07|"9,849 22,824 24,551"
20364|"10-08-2022"|91759.09|"Caye Rice"|"Av 598 No 069 20"|26.752|17.14|"19,898 8,661 22,861"
20528|"31-07-2022"|55048.418|"Herb Feldmark"|"St 069 No 642 56"|14.043|15.92|"9,591 8,988 29,192"
20507|"10-08-2022"|76756.31|"Addie Kenlin"|"St 072 No 894 99"|22.378|25.27|"24,93 27,014 23,858"
20453|"10-08-2022"|95185.66|"Jane Keneford"|"St 072 No 853 68"|27.751|21.77|"10,034 29,802 25,48"
20749|"21-07-2022"|79056.47|"Elbert Springer"|"St 074 No 377 60"|13.445|16.7|"23,243 18,631 8,221"
20003|"30-08-2022"|35926.016|"Gleda Wornum"|"St 075 No 031 11"|22.912|16.01|"15,114 9,473 23,452"
20759|"21-07-2022"|111637.49|"Mead Freke"|"St 079 No 138 93"|18.986|13.67|"5,966 24,793 10,25"
20849|"16-07-2022"|158160.52|"Cilka Ricket"|"Av 660 No 079 47"|25.217|11.23|"7,296 11,591 14,817"
20990|"16-07-2022"|110073.25|"Amabelle Langrick"|"St 080 No 988 83"|17.55|17.78|"22,4 25,158 5,779"
20219|"20-08-2022"|70044.62|"Tann Dysert"|"St 080 No 639 18"|29.781|14.86|"15,456 15,924 13,195"
20308|"20-08-2022"|35841.977|"Kipper Madine"|"Av 181 No 081 38"|15.239|16.18|"18,556 23,582 6,39"
20302|"20-08-2022"|61259.93|"Moshe Braunston"|"Av 137 No 085 00"|26.046|18.53|"7,525 25,845 22,205"
20834|"21-07-2022"|126213.984|"Wyndham Bing"|"Av 152 No 085 70"|21.465|19.88|"21,888 12,94 24,808"
20568|"31-07-2022"|48200.195|"Chancey Heffernon"|"Av 495 No 085 54"|12.296|14.35|"23,482 7,131 12,45"
20049|"30-08-2022"|43439.87|"Donnell Wren"|"St 086 No 856 18"|27.704|19.27|"17,407 21,924 18,493"
20527|"31-07-2022"|93640.72|"Isadore Laible"|"Av 881 No 087 28"|23.888|14.71|"28,842 8,895 6,38"
20679|"21-07-2022"|124150.11|"Carroll Beall"|"St 088 No 796 94"|21.114|18.82|"16,402 15,213 24,856"
20684|"21-07-2022"|148510.9|"Lizzie Guiso"|"St 089 No 566 63"|25.257|15.91|"9,77 13,936 24,021"
20183|"20-08-2022"|50861.785|"Caryl Aireton"|"Av 486 No 095 92"|21.625|16.82|"19,593 9,661 21,192"
20893|"16-07-2022"|116426.766|"Oby Shearmer"|"St 097 No 238 26"|18.563|16.78|"12,534 10,719 27,097"
20111|"30-08-2022"|21958.271|"Cristine Tabner"|"Av 896 No 097 72"|14.004|23.75|"14,266 28,845 28,131"
20233|"20-08-2022"|26913.822|"Tyson MacCartan"|"Av 842 No 098 95"|11.443|22.75|"24,667 14,59 29,003"
20807|"21-07-2022"|173700.78|"Tonya Glowacz"|"St 098 No 764 69"|29.541|18.95|"10,472 17,842 28,524"
20898|"16-07-2022"|51198.17|"Cody Osbiston"|"St 098 No 397 27"|8.163|16.37|"13,757 22,209 13,141"
20880|"16-07-2022"|67524.13|"Blayne Yedall"|"St 099 No 420 43"|10.766|16.44|"29,329 10,633 9,344"
20061|"30-08-2022"|35604.574|"Kennedy Randleson"|"St 099 No 550 31"|22.707|16.2|"13,874 25,893 8,829"
20935|"16-07-2022"|76010.125|"Shaylah Hurst"|"St 100 No 211 52"|12.119|13.22|"16,758 5,037 17,871"
20821|"21-07-2022"|128377.82|"Reena Churly"|"St 102 No 436 00"|21.833|20.48|"26,701 11,301 23,448"
20459|"10-08-2022"|53809.684|"Elise Meffen"|"St 102 No 232 67"|15.688|19.6|"25,554 24,107 9,125"
20635|"31-07-2022"|24888.016|"Baudoin Chapelhow"|"St 104 No 961 10"|6.349|24.72|"26,24 23,631 24,281"
20706|"21-07-2022"|53355.027|"Daile Rodd"|"St 104 No 201 50"|9.074|7.31|"9,025 6,426 6,492"
