"id"|"paymentDue"|"amount"|"name"|"address"|"stratum"|"consumption"|"avgConsumption"|"last"
11531|"30-01-2023"|26353.377|"Emory Collough"|"St 000 No 982 99"|1|16.807|16.05|"16,807 6,101 26,69 26,084 21,604 8,688 21,092 7,284 8,083 8,388 21,687 20,034"
11371|"21-12-2022"|35762.098|"Yoshi Tims"|"St 000 No 396 19"|5|6.082|14.75|"6,082 5,014 10,81 19,662 12,309 28,904 17,106 8,699 13,216 15,963 22,865 16,354"
11923|"30-01-2023"|38956.96|"Caryn McCoish"|"Av 217 No 000 57"|1|24.845|18.24|"24,845 27,833 14,992 25,424 22,189 19,802 9,01 8,031 22,438 10,985 24,18 9,172"
11936|"31-12-2022"|106686.445|"Vail Devote"|"Av 552 No 002 93"|4|27.216|13.6|"27,216 12,614 7,979 8,868 16,406 27,756 12,508 6,659 10,219 20,506 7,061 5,418"
11170|"21-12-2022"|165051.31|"Kinsley de Vaen"|"Av 077 No 003 44"|5|28.07|19.79|"28,07 29,11 29,971 9,53 19,01 20,865 27,202 17,621 23,929 12,118 5,232 14,88"
11414|"30-01-2023"|34709.246|"Rogerio Ebbers"|"St 003 No 736 07"|1|22.136|17.27|"22,136 7,319 24,326 26,142 25,758 21,243 17,751 8,882 5,149 5,038 17,151 26,344"
11286|"30-01-2023"|27742.623|"Ingelbert Udall"|"St 004 No 837 34"|1|17.693|18.89|"17,693 18,538 6,548 17,208 12,286 18,154 28,825 29,854 26,747 15,932 22,393 12,459"
11402|"20-01-2023"|43652.934|"Joceline Rucklesse"|"St 005 No 439 08"|2|18.56|17.44|"18,56 25,437 16,226 12,025 24,522 5,618 10,656 12,884 28,933 23,985 5,068 25,419"
11375|"10-01-2023"|89217.47|"Louisa Ringsell"|"St 005 No 603 51"|3|26.011|17.6|"26,011 5,997 20,564 16,149 12,138 8,725 9,888 29,369 20,731 22,216 23,047 16,387"
11556|"10-01-2023"|99871.016|"Aubert Casbon"|"St 006 No 366 37"|3|29.117|22.85|"29,117 25,163 26,704 22,424 25,545 24,112 26,089 12,574 27,727 23,612 13,618 17,49"
11927|"21-12-2022"|154096.89|"Allene Ewer"|"Av 129 No 007 42"|5|26.207|16.83|"26,207 22,43 13,709 10,533 12,766 13,521 25,934 12,327 11,176 22,101 17,68 13,529"
11094|"31-12-2022"|72492.375|"Ellyn Postin"|"Av 545 No 007 08"|4|18.493|17.72|"18,493 9,598 29,26 25,298 19,043 14,633 7,986 9,164 28,348 10,152 27,868 12,816"
11883|"31-12-2022"|72288.54|"Michele Cringle"|"Av 692 No 008 53"|4|18.441|17.49|"18,441 10,556 26,53 19,198 11,426 15,501 16,871 20,992 18,463 8,868 26,816 16,273"
11706|"10-01-2023"|44617.31|"Tina McCerery"|"St 008 No 318 59"|3|13.008|18.13|"13,008 21,945 26,666 22,949 24,527 8,701 17,633 20,815 26,783 10,583 14,916 8,988"
